AE,60,59,1,59
AT,60,60,0,60
AU,60,59,1,59
CM,60,59,1,59
CS,60,59,1,59
EC,60,59,1,59
EI,60,59,1,59
EM,60,58,2,58
IM,120,118,2,118
PR,60,59,1,59
RA,30,29,1,29
RP,60,60,0,60
